bag,absolute_time,relative_sec,source_node,source_topic,event_category,candidate_type,goal_x,goal_y,decision,direct_reason,clearance_m,required_clearance_m,progress_m,alignment,path_length_m,score,outcome
23july.bag,2026-07-23T21:03:25.131+05:30,17.491,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,5.94,6.98,rejected,"Rejected frontier (5.94, 6.98): endpoint clearance 1.67 m is below required 1.70 m.",1.67,1.7,,,,,
23july.bag,2026-07-23T21:03:25.131+05:30,17.492,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,6.84,7.63,rejected,"Rejected frontier (6.84, 7.63): endpoint clearance 0.59 m is below required 1.70 m.",0.59,1.7,,,,,
23july.bag,2026-07-23T21:03:25.132+05:30,17.492,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.69,8.33,rejected,"Rejected frontier (7.69, 8.33): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.132+05:30,17.493,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.74,8.38,rejected,"Rejected frontier (7.74, 8.38): endpoint clearance 0.08 m is below required 1.70 m.",0.08,1.7,,,,,
23july.bag,2026-07-23T21:03:25.133+05:30,17.493,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.79,8.43,rejected,"Rejected frontier (7.79, 8.43): endpoint clearance 0.15 m is below required 1.70 m.",0.15,1.7,,,,,
23july.bag,2026-07-23T21:03:25.133+05:30,17.494,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.89,8.48,rejected,"Rejected frontier (7.89, 8.48): endpoint clearance 0.25 m is below required 1.70 m.",0.25,1.7,,,,,
23july.bag,2026-07-23T21:03:25.134+05:30,17.494,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.99,8.53,rejected,"Rejected frontier (7.99, 8.53): endpoint clearance 0.22 m is below required 1.70 m.",0.22,1.7,,,,,
23july.bag,2026-07-23T21:03:25.134+05:30,17.495,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.04,8.58,rejected,"Rejected frontier (8.04, 8.58): endpoint clearance 0.15 m is below required 1.70 m.",0.15,1.7,,,,,
23july.bag,2026-07-23T21:03:25.135+05:30,17.495,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.04,8.68,rejected,"Rejected frontier (8.04, 8.68): endpoint clearance 0.08 m is below required 1.70 m.",0.08,1.7,,,,,
23july.bag,2026-07-23T21:03:25.135+05:30,17.496,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.09,8.73,rejected,"Rejected frontier (8.09, 8.73): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.136+05:30,17.496,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.04,9.08,rejected,"Rejected frontier (8.04, 9.08): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.136+05:30,17.497,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.44,9.38,rejected,"Rejected frontier (8.44, 9.38): endpoint clearance 0.33 m is below required 1.70 m.",0.33,1.7,,,,,
23july.bag,2026-07-23T21:03:25.137+05:30,17.498,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.09,9.18,rejected,"Rejected frontier (8.09, 9.18): endpoint clearance 0.13 m is below required 1.70 m.",0.13,1.7,,,,,
23july.bag,2026-07-23T21:03:25.138+05:30,17.498,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.19,9.23,rejected,"Rejected frontier (8.19, 9.23): endpoint clearance 0.22 m is below required 1.70 m.",0.22,1.7,,,,,
23july.bag,2026-07-23T21:03:25.138+05:30,17.499,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.24,9.28,rejected,"Rejected frontier (8.24, 9.28): endpoint clearance 0.29 m is below required 1.70 m.",0.29,1.7,,,,,
23july.bag,2026-07-23T21:03:25.139+05:30,17.499,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.29,9.28,rejected,"Rejected frontier (8.29, 9.28): endpoint clearance 0.32 m is below required 1.70 m.",0.32,1.7,,,,,
23july.bag,2026-07-23T21:03:25.140+05:30,17.5,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.49,9.43,rejected,"Rejected frontier (8.49, 9.43): endpoint clearance 0.32 m is below required 1.70 m.",0.32,1.7,,,,,
23july.bag,2026-07-23T21:03:25.140+05:30,17.501,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.54,9.48,rejected,"Rejected frontier (8.54, 9.48): endpoint clearance 0.25 m is below required 1.70 m.",0.25,1.7,,,,,
