bag,absolute_time,relative_sec,source_node,source_topic,event_category,severity,goal_x,goal_y,action_status,path_pose_count,path_length_m,message,active_goal_number
23july.bag,2026-07-23T21:03:17.811+05:30,10.172,target_explorer_node,/rosout,nav2_state,WARN,-0.23,4.63,,,,"Rejected frontier (-0.23, 4.63): endpoint clearance 1.68 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:17.812+05:30,10.172,target_explorer_node,/rosout,nav2_state,WARN,0.02,5.53,,,,"Rejected frontier (0.02, 5.53): endpoint clearance 0.83 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:17.813+05:30,10.174,/plan,/plan,path_update,RECORDED,1.3690255831216742,5.226012594298545,,159,4.7488,Recorded path update on /plan,
23july.bag,2026-07-23T21:03:17.820+05:30,10.18,target_explorer_node,/rosout,planning,INFO,1.37,5.28,,,,"Sending NavigateToPose goal (1.37, 5.28): progress=4.40 m alignment=0.962 path=4.75 m score=4.887.",2
23july.bag,2026-07-23T21:03:17.821+05:30,10.182,target_explorer_node,/rosout,nav2_state,INFO,1.37,5.28,,,,"Nav2 accepted goal (1.37, 5.28).",2
23july.bag,2026-07-23T21:03:17.821+05:30,10.182,/plan,/plan,path_update,RECORDED,1.3690255831216742,5.226012594298545,,159,4.7488,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:17.841+05:30,10.201,controller_server,/rosout,goal_started,INFO,,,,,,"Received a goal, begin computing control effort.",2
23july.bag,2026-07-23T21:03:18.852+05:30,11.212,/plan,/plan,path_update,RECORDED,1.3690255831216742,5.226012594298545,,144,4.3009,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:18.891+05:30,11.251,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,2
23july.bag,2026-07-23T21:03:19.016+05:30,11.377,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 419 X 437 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:19.451+05:30,11.811,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 587 X 565 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:19.883+05:30,12.243,/plan,/plan,path_update,RECORDED,1.3690255756710936,5.276012587593023,,143,3.5945,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:19.886+05:30,12.246,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 590 X 572 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:19.941+05:30,12.301,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,2
23july.bag,2026-07-23T21:03:20.914+05:30,13.275,/plan,/plan,path_update,RECORDED,1.3690255756710936,5.276012587593023,,118,2.9846,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:20.941+05:30,13.301,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,2
23july.bag,2026-07-23T21:03:21.190+05:30,13.551,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 593 X 572 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:21.625+05:30,13.985,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 595 X 572 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:21.944+05:30,14.305,/plan,/plan,path_update,RECORDED,1.3690255756710936,5.276012587593023,,91,2.2891,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:21.991+05:30,14.351,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,2
23july.bag,2026-07-23T21:03:22.929+05:30,15.29,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 605 X 572 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:22.975+05:30,15.335,/plan,/plan,path_update,RECORDED,1.3690255756710936,5.276012587593023,,63,1.5932,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:22.991+05:30,15.352,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,2
23july.bag,2026-07-23T21:03:23.799+05:30,16.159,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 607 X 572 at 0.050000 m/pix,2
23july.bag,2026-07-23T21:03:24.003+05:30,16.364,/plan,/plan,path_update,RECORDED,1.3690255756710936,5.276012587593023,,36,0.924,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:24.041+05:30,16.401,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,2
23july.bag,2026-07-23T21:03:25.033+05:30,17.394,/plan,/plan,path_update,RECORDED,1.3690255756710936,5.276012587593023,,10,0.2719,Recorded path update on /plan,2
23july.bag,2026-07-23T21:03:25.041+05:30,17.402,controller_server,/rosout,nav2_state,INFO,,,,,,Reached the goal!,2
23july.bag,2026-07-23T21:03:25.050+05:30,17.411,controller_server,/rosout,goal_started,INFO,,,,,,"Received a goal, begin computing control effort.",2
23july.bag,2026-07-23T21:03:25.051+05:30,17.411,controller_server,/rosout,nav2_state,INFO,,,,,,Reached the goal!,2
23july.bag,2026-07-23T21:03:25.090+05:30,17.451,bt_navigator,/rosout,goal_succeeded,INFO,,,,,,Goal succeeded,2
23july.bag,2026-07-23T21:03:25.091+05:30,17.452,target_explorer_node,/rosout,goal_succeeded,INFO,1.37,5.28,,,,"NavigateToPose succeeded for (1.37, 5.28).",
23july.bag,2026-07-23T21:03:25.127+05:30,17.488,target_explorer_node,/rosout,nav2_state,WARN,-1.71,4.18,,,,"Rejected frontier (-1.71, 4.18): endpoint clearance 0.88 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.127+05:30,17.488,target_explorer_node,/rosout,nav2_state,WARN,-2.16,5.53,,,,"Rejected frontier (-2.16, 5.53): endpoint clearance 1.38 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.128+05:30,17.489,target_explorer_node,/rosout,nav2_state,WARN,-2.11,3.33,,,,"Rejected frontier (-2.11, 3.33): endpoint clearance 0.95 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.128+05:30,17.489,target_explorer_node,/rosout,nav2_state,WARN,-2.31,3.83,,,,"Rejected frontier (-2.31, 3.83): endpoint clearance 0.43 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.129+05:30,17.489,target_explorer_node,/rosout,nav2_state,WARN,-1.91,4.48,,,,"Rejected frontier (-1.91, 4.48): endpoint clearance 0.73 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.129+05:30,17.49,target_explorer_node,/rosout,nav2_state,WARN,-1.56,8.18,,,,"Rejected frontier (-1.56, 8.18): endpoint clearance 1.45 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.130+05:30,17.491,target_explorer_node,/rosout,nav2_state,WARN,-1.16,8.83,,,,"Rejected frontier (-1.16, 8.83): endpoint clearance 0.75 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.131+05:30,17.491,target_explorer_node,/rosout,nav2_state,WARN,5.94,6.98,,,,"Rejected frontier (5.94, 6.98): endpoint clearance 1.67 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.131+05:30,17.492,target_explorer_node,/rosout,nav2_state,WARN,6.84,7.63,,,,"Rejected frontier (6.84, 7.63): endpoint clearance 0.59 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.132+05:30,17.492,target_explorer_node,/rosout,nav2_state,WARN,7.69,8.33,,,,"Rejected frontier (7.69, 8.33): endpoint clearance 0.03 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.132+05:30,17.493,target_explorer_node,/rosout,nav2_state,WARN,7.74,8.38,,,,"Rejected frontier (7.74, 8.38): endpoint clearance 0.08 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.133+05:30,17.493,target_explorer_node,/rosout,nav2_state,WARN,7.79,8.43,,,,"Rejected frontier (7.79, 8.43): endpoint clearance 0.15 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.133+05:30,17.494,target_explorer_node,/rosout,nav2_state,WARN,7.89,8.48,,,,"Rejected frontier (7.89, 8.48): endpoint clearance 0.25 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.134+05:30,17.494,target_explorer_node,/rosout,nav2_state,WARN,7.99,8.53,,,,"Rejected frontier (7.99, 8.53): endpoint clearance 0.22 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.134+05:30,17.495,target_explorer_node,/rosout,nav2_state,WARN,8.04,8.58,,,,"Rejected frontier (8.04, 8.58): endpoint clearance 0.15 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.135+05:30,17.495,target_explorer_node,/rosout,nav2_state,WARN,8.04,8.68,,,,"Rejected frontier (8.04, 8.68): endpoint clearance 0.08 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.135+05:30,17.496,target_explorer_node,/rosout,nav2_state,WARN,8.09,8.73,,,,"Rejected frontier (8.09, 8.73): endpoint clearance 0.03 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.136+05:30,17.496,target_explorer_node,/rosout,nav2_state,WARN,8.04,9.08,,,,"Rejected frontier (8.04, 9.08): endpoint clearance 0.03 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.136+05:30,17.497,target_explorer_node,/rosout,nav2_state,WARN,8.44,9.38,,,,"Rejected frontier (8.44, 9.38): endpoint clearance 0.33 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.137+05:30,17.498,target_explorer_node,/rosout,nav2_state,WARN,8.09,9.18,,,,"Rejected frontier (8.09, 9.18): endpoint clearance 0.13 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.138+05:30,17.498,target_explorer_node,/rosout,nav2_state,WARN,8.19,9.23,,,,"Rejected frontier (8.19, 9.23): endpoint clearance 0.22 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.138+05:30,17.499,target_explorer_node,/rosout,nav2_state,WARN,8.24,9.28,,,,"Rejected frontier (8.24, 9.28): endpoint clearance 0.29 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.139+05:30,17.499,target_explorer_node,/rosout,nav2_state,WARN,8.29,9.28,,,,"Rejected frontier (8.29, 9.28): endpoint clearance 0.32 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.140+05:30,17.5,target_explorer_node,/rosout,nav2_state,WARN,8.49,9.43,,,,"Rejected frontier (8.49, 9.43): endpoint clearance 0.32 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.140+05:30,17.501,target_explorer_node,/rosout,nav2_state,WARN,8.54,9.48,,,,"Rejected frontier (8.54, 9.48): endpoint clearance 0.25 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.141+05:30,17.501,target_explorer_node,/rosout,nav2_state,WARN,8.29,9.73,,,,"Rejected frontier (8.29, 9.73): endpoint clearance 0.03 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.141+05:30,17.502,target_explorer_node,/rosout,nav2_state,WARN,8.54,9.83,,,,"Rejected frontier (8.54, 9.83): endpoint clearance 0.15 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.142+05:30,17.502,target_explorer_node,/rosout,nav2_state,WARN,8.44,9.68,,,,"Rejected frontier (8.44, 9.68): endpoint clearance 0.18 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.142+05:30,17.503,target_explorer_node,/rosout,nav2_state,WARN,8.49,9.73,,,,"Rejected frontier (8.49, 9.73): endpoint clearance 0.23 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.143+05:30,17.504,target_explorer_node,/rosout,nav2_state,WARN,8.44,9.78,,,,"Rejected frontier (8.44, 9.78): endpoint clearance 0.18 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.143+05:30,17.504,target_explorer_node,/rosout,nav2_state,WARN,8.64,9.83,,,,"Rejected frontier (8.64, 9.83): endpoint clearance 0.08 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.144+05:30,17.504,target_explorer_node,/rosout,nav2_state,WARN,8.69,9.83,,,,"Rejected frontier (8.69, 9.83): endpoint clearance 0.08 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.144+05:30,17.505,target_explorer_node,/rosout,nav2_state,WARN,8.79,9.83,,,,"Rejected frontier (8.79, 9.83): endpoint clearance 0.04 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.145+05:30,17.505,target_explorer_node,/rosout,nav2_state,WARN,8.59,9.88,,,,"Rejected frontier (8.59, 9.88): endpoint clearance 0.08 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.145+05:30,17.506,target_explorer_node,/rosout,nav2_state,WARN,3.49,10.43,,,,"Rejected frontier (3.49, 10.43): endpoint clearance 0.03 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.146+05:30,17.506,target_explorer_node,/rosout,nav2_state,WARN,3.79,11.03,,,,"Rejected frontier (3.79, 11.03): endpoint clearance 0.23 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.146+05:30,17.507,target_explorer_node,/rosout,nav2_state,WARN,3.59,10.58,,,,"Rejected frontier (3.59, 10.58): endpoint clearance 0.18 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.147+05:30,17.507,target_explorer_node,/rosout,nav2_state,WARN,3.69,10.63,,,,"Rejected frontier (3.69, 10.63): endpoint clearance 0.29 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.147+05:30,17.508,target_explorer_node,/rosout,nav2_state,WARN,3.69,10.78,,,,"Rejected frontier (3.69, 10.78): endpoint clearance 0.29 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.148+05:30,17.509,target_explorer_node,/rosout,nav2_state,WARN,3.79,10.83,,,,"Rejected frontier (3.79, 10.83): endpoint clearance 0.32 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.148+05:30,17.509,target_explorer_node,/rosout,nav2_state,WARN,3.74,10.93,,,,"Rejected frontier (3.74, 10.93): endpoint clearance 0.22 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.149+05:30,17.51,target_explorer_node,/rosout,nav2_state,WARN,3.89,11.08,,,,"Rejected frontier (3.89, 11.08): endpoint clearance 0.33 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.151+05:30,17.512,target_explorer_node,/rosout,nav2_state,WARN,3.94,11.18,,,,"Rejected frontier (3.94, 11.18): endpoint clearance 0.38 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.151+05:30,17.512,target_explorer_node,/rosout,nav2_state,WARN,3.89,11.28,,,,"Rejected frontier (3.89, 11.28): endpoint clearance 0.30 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.153+05:30,17.514,target_explorer_node,/rosout,nav2_state,WARN,3.99,11.33,,,,"Rejected frontier (3.99, 11.33): endpoint clearance 0.23 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.153+05:30,17.514,target_explorer_node,/rosout,nav2_state,WARN,3.34,10.53,,,,"Rejected frontier (3.34, 10.53): endpoint clearance 0.04 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.153+05:30,17.514,target_explorer_node,/rosout,nav2_state,WARN,3.39,10.58,,,,"Rejected frontier (3.39, 10.58): endpoint clearance 0.08 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.154+05:30,17.515,target_explorer_node,/rosout,nav2_state,WARN,3.39,10.68,,,,"Rejected frontier (3.39, 10.68): endpoint clearance 0.11 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.155+05:30,17.515,target_explorer_node,/rosout,nav2_state,WARN,3.44,10.78,,,,"Rejected frontier (3.44, 10.78): endpoint clearance 0.13 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.155+05:30,17.516,target_explorer_node,/rosout,nav2_state,WARN,3.44,10.88,,,,"Rejected frontier (3.44, 10.88): endpoint clearance 0.04 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.156+05:30,17.516,target_explorer_node,/rosout,nav2_state,WARN,3.49,10.93,,,,"Rejected frontier (3.49, 10.93): endpoint clearance 0.04 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.156+05:30,17.517,target_explorer_node,/rosout,nav2_state,WARN,3.49,10.98,,,,"Rejected frontier (3.49, 10.98): endpoint clearance 0.03 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.157+05:30,17.518,target_explorer_node,/rosout,nav2_state,WARN,7.94,10.88,,,,"Rejected frontier (7.94, 10.88): endpoint clearance 0.23 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.158+05:30,17.518,target_explorer_node,/rosout,nav2_state,WARN,8.99,12.78,,,,"Rejected frontier (8.99, 12.78): endpoint clearance 0.70 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.158+05:30,17.519,target_explorer_node,/rosout,nav2_state,WARN,7.99,10.83,,,,"Rejected frontier (7.99, 10.83): endpoint clearance 0.18 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.158+05:30,17.519,target_explorer_node,/rosout,nav2_state,WARN,8.29,11.23,,,,"Rejected frontier (8.29, 11.23): endpoint clearance 0.28 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.159+05:30,17.52,target_explorer_node,/rosout,nav2_state,WARN,8.44,11.58,,,,"Rejected frontier (8.44, 11.58): endpoint clearance 0.65 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.159+05:30,17.52,target_explorer_node,/rosout,nav2_state,WARN,8.49,12.28,,,,"Rejected frontier (8.49, 12.28): endpoint clearance 0.66 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.160+05:30,17.521,target_explorer_node,/rosout,nav2_state,WARN,9.24,12.58,,,,"Rejected frontier (9.24, 12.58): endpoint clearance 0.48 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.160+05:30,17.521,target_explorer_node,/rosout,nav2_state,WARN,9.24,12.78,,,,"Rejected frontier (9.24, 12.78): endpoint clearance 0.68 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.161+05:30,17.521,target_explorer_node,/rosout,nav2_state,WARN,9.44,12.93,,,,"Rejected frontier (9.44, 12.93): endpoint clearance 0.48 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.161+05:30,17.522,target_explorer_node,/rosout,nav2_state,WARN,9.14,13.23,,,,"Rejected frontier (9.14, 13.23): endpoint clearance 0.68 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.162+05:30,17.523,target_explorer_node,/rosout,nav2_state,WARN,9.14,13.78,,,,"Rejected frontier (9.14, 13.78): endpoint clearance 0.80 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.162+05:30,17.523,target_explorer_node,/rosout,nav2_state,WARN,9.39,13.98,,,,"Rejected frontier (9.39, 13.98): endpoint clearance 0.62 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.163+05:30,17.524,target_explorer_node,/rosout,nav2_state,WARN,7.54,11.13,,,,"Rejected frontier (7.54, 11.13): endpoint clearance 0.66 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.164+05:30,17.524,target_explorer_node,/rosout,nav2_state,WARN,7.89,11.38,,,,"Rejected frontier (7.89, 11.38): endpoint clearance 0.54 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.164+05:30,17.525,target_explorer_node,/rosout,nav2_state,WARN,7.59,11.08,,,,"Rejected frontier (7.59, 11.08): endpoint clearance 0.60 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.165+05:30,17.525,target_explorer_node,/rosout,nav2_state,WARN,7.59,11.18,,,,"Rejected frontier (7.59, 11.18): endpoint clearance 0.64 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.165+05:30,17.526,target_explorer_node,/rosout,nav2_state,WARN,7.74,11.23,,,,"Rejected frontier (7.74, 11.23): endpoint clearance 0.54 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.166+05:30,17.527,target_explorer_node,/rosout,nav2_state,WARN,7.74,11.33,,,,"Rejected frontier (7.74, 11.33): endpoint clearance 0.60 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.166+05:30,17.527,target_explorer_node,/rosout,nav2_state,WARN,7.79,11.38,,,,"Rejected frontier (7.79, 11.38): endpoint clearance 0.60 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.167+05:30,17.527,target_explorer_node,/rosout,nav2_state,WARN,7.89,11.48,,,,"Rejected frontier (7.89, 11.48): endpoint clearance 0.62 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.167+05:30,17.528,target_explorer_node,/rosout,nav2_state,WARN,7.89,11.58,,,,"Rejected frontier (7.89, 11.58): endpoint clearance 0.70 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.168+05:30,17.529,target_explorer_node,/rosout,nav2_state,WARN,4.24,11.48,,,,"Rejected frontier (4.24, 11.48): endpoint clearance 0.19 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.169+05:30,17.529,target_explorer_node,/rosout,nav2_state,WARN,4.44,11.88,,,,"Rejected frontier (4.44, 11.88): endpoint clearance 0.43 m is below required 1.70 m.",
23july.bag,2026-07-23T21:03:25.169+05:30,17.53,target_explorer_node,/rosout,nav2_state,WARN,4.24,11.58,,,,"Rejected frontier (4.24, 11.58): endpoint clearance 0.18 m is below required 1.70 m.",
