bag,command_angular_sign_changes,command_angular_sign_changes_per_moving_second,command_max_abs_angular,command_negative_linear_fraction,command_p95_abs_angular,command_samples,command_source,duration_sec,end_target_distance_m,end_x,end_y,goals,maximum_5s_backward_progress_m,messages,navigation_controller_failed_to_make_progress,navigation_controller_missed_rate,navigation_costmap_clears,navigation_nav2_goals_succeeded,navigation_planner_failed_to_create_plan,net_target_progress_m,rejection_correction_attempts,rejection_endpoint_clearance_frontiers,rejection_no_reachable_cycles,rejection_no_safe_interior_frontiers,rejection_sample_reasons,samples,source,start_target_distance_m,start_x,start_y,travelled_m
25july.bag,71,0.4543795110202161,2.055943435872446,0.0,1.137956588629419,3126,/cmd_vel,163.681074237,256.68568704691177,-5.966263578634965,15.121922053656872,8,2.5834935842889593,2574215,1,2,2,7,186,5.466313033185713,3,444,0,303,"{""maximum backward search distance reached"": 302, ""unknown occupancy cell in clearance circle"": 72543, ""costmap: unknown cell in safety area"": 17130, ""costmap: cost threshold exceeded"": 1380}",2422,TF map→base_footprint/base_link,262.1520000800975,0.031069695228944646,2.414845549456447,101.4997177981683
25july1.bag,0,,,,,0,,11.16183214,,-0.004897641029081166,0.5571784184079022,0,,173237,,,,,4,,0,18,2,102,"{""maximum backward search distance reached"": 102, ""unknown occupancy cell in clearance circle"": 28703, ""costmap: unknown cell in safety area"": 1999}",168,TF map→base_footprint/base_link,,0.01720815064987785,0.5531143678023218,1.5134502510528707
25july2.bag,0,,,,,0,,45.464135954,261.88629049457614,0.014653615377353676,2.777985243825622,0,0.0805858176600509,718436,,,,,10,2.1081034259576654,0,35,9,236,"{""maximum backward search distance reached"": 236, ""unknown occupancy cell in clearance circle"": 12036}",683,TF map→base_footprint/base_link,263.9943939205338,-0.06253455538128297,0.07978218595910773,8.63604619351172
