bag,relative_sec,level,message
25july.bag,6.518717734,30,"Rejected frontier (0.34, 13.36): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=78, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=223)."
25july.bag,6.581663771,30,"Rejected frontier (-1.91, 15.51): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=15, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=286)."
25july.bag,6.75827397,30,"Rejected frontier (0.44, 13.01): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=180, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=121)."
25july.bag,6.838781827,30,"Rejected frontier (-2.51, 14.26): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,6.952437057,30,"Rejected frontier (-2.91, 11.81): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=88, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=213)."
25july.bag,7.116756603,30,"Rejected frontier (0.44, 7.46): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=176, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=125)."
25july.bag,7.31798059,30,"Rejected frontier (-3.51, 8.71): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=231, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=70)."
25july.bag,7.318883702,20,Cached 448-pose ComputePathToPose path for goal sequence 1 in frame map.
25july.bag,7.3251205,20,"Frontier (6.24, 14.21) selected with score 12.606; safe interior goal is (5.27, 12.62), 1.98 m back along its Nav2 path after rejecting 198 samples; unknown clearance=>=0.15 m, occupied clearance=>=0.15 m, costmap center cost=None."
25july.bag,7.32563922,20,"Sending NavigateToPose frontier goal (5.27, 12.62)."
25july.bag,7.328564762,20,"Nav2 accepted frontier goal (5.27, 12.62)."
25july.bag,7.329480599,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,9.580155691,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,11.780128069,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,14.080327669,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,16.38006075,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,18.580427914,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,20.880267529,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,23.280547127,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,24.900103078,20,Nav2 reached the frontier goal.
25july.bag,24.900157172,20,Frontier exploration resumed from IDLE.
25july.bag,25.049598869,30,"Rejected frontier (7.19, 7.81): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.050596382,30,"Rejected frontier (6.64, 7.66): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.05139423,30,"Rejected frontier (6.49, 7.56): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.052620393,30,"Rejected frontier (5.74, 9.16): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.054424491,30,"Rejected frontier (7.59, 11.81): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.054847847,30,"Rejected frontier (7.54, 11.61): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.055934361,30,"Rejected frontier (9.34, 12.86): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.056492266,30,"Rejected frontier (9.39, 12.81): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.059032823,30,"Rejected frontier (10.99, 15.31): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.05963281,30,"Rejected frontier (11.19, 15.61): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.062357802,30,"Rejected frontier (8.24, 15.56): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.063021341,30,"Rejected frontier (9.74, 17.56): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.063884234,30,"Rejected frontier (10.99, 15.91): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.064373838,30,"Rejected frontier (11.14, 16.31): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.065126699,30,"Rejected frontier (4.59, 16.11): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.067133737,30,"Rejected frontier (10.94, 16.51): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.070362341,30,"Rejected frontier (10.94, 17.16): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.072186427,30,"Rejected frontier (10.94, 17.56): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.072671772,30,"Rejected frontier (10.84, 17.76): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.073353246,30,"Rejected frontier (10.89, 18.11): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.077466604,30,"Rejected frontier (4.74, 18.11): endpoint clearance 0.03 m is below required 0.10 m."
