bag,relative_sec,level,node,message
25july.bag,48.989171672,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,49.007653861,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,49.007695612,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.79, 18.79)"
25july.bag,49.007730489,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,49.024039473,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,49.024098296,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.29, 19.14)"
25july.bag,49.024131881,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,49.041599736,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,49.041649021,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.99, 19.24)"
25july.bag,49.041671675,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,49.151929869,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,49.151969215,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.29, 18.69)"
25july.bag,49.151993291,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,49.989742746,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,49.989779887,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.34, 17.24)"
25july.bag,49.98982778,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,50.317951618,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,50.317985433,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.49, 18.39)"
25july.bag,50.318007606,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,51.681518104,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,51.68159892,30,planner_server,"Planning algorithm  failed to generate a valid path to (9.39, 17.29)"
25july.bag,51.682034188,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,51.699099146,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,51.69916355,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.29, 15.69)"
25july.bag,51.699202414,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,51.807177679,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,51.807210883,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.19, 19.29)"
25july.bag,51.807232074,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,51.823326002,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,51.823360628,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.29, 18.69)"
25july.bag,51.823395876,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,51.839050738,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,51.839113529,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.99, 14.44)"
25july.bag,51.8391503,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,51.85548945,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,51.855548754,30,planner_server,"Planning algorithm  failed to generate a valid path to (8.24, 16.14)"
25july.bag,51.855568733,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,52.044233138,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,52.044275359,30,planner_server,"Planning algorithm  failed to generate a valid path to (4.09, 19.19)"
25july.bag,52.044312401,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,52.220767551,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,52.220803811,30,planner_server,"Planning algorithm  failed to generate a valid path to (3.04, 20.14)"
25july.bag,52.220826384,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
