stamp_s,elapsed_s,global_x_m,global_y_m,interpolated_direct_utm_x_m,interpolated_direct_utm_y_m,global_to_direct_utm_m,global_to_centreline_m
1787657848.6629791,-0.16301393508911133,0.0,0.0,446.8024544635555,379.24434032524005,586.0534983970184,438.24934949615687
1787657848.6919792,-0.13401389122009277,0.0,0.0,446.8024544635555,379.24434032524005,586.0534983970184,438.24934949615687
1787657848.7219832,-0.10400986671447754,0.0,0.0,446.8024544635555,379.24434032524005,586.0534983970184,438.24934949615687
1787657848.7619832,-0.0640099048614502,0.0,0.0,446.8024544635555,379.24434032524005,586.0534983970184,438.24934949615687
1787657848.7919831,-0.03400993347167969,0.0,0.0,446.8024544635555,379.24434032524005,586.0534983970184,438.24934949615687
1787657848.823986,-0.002007007598876953,0.0,0.0,446.8024544635555,379.24434032524005,586.0534983970184,438.24934949615687
1787657848.8589861,0.03299307823181152,0.0,0.0,446.8008367846365,379.2446773299417,586.0524831741121,438.24934949615687
1787657848.893986,0.0679929256439209,0.0,0.0,446.7991207121037,379.24503483259883,586.0514062045138,438.24934949615687
1787657848.9219897,0.09599661827087402,0.0,0.0,446.7977476670395,379.24532087368937,586.0505445138048,438.24934949615687
1787657848.9569895,0.1309964656829834,0.0,0.0,446.7960315945067,379.2456783763465,586.0494675500821,438.24934949615687
1787657848.9919896,0.16599655151367188,0.0,0.0,446.79431551028404,379.24603588143896,586.0483905822871,438.24934949615687
1787657849.017993,0.1919999122619629,0.0,0.0,446.7930405432073,379.24630149032726,586.0475904497316,438.24934949615687
1787657849.062993,0.2369999885559082,0.0,0.0,446.7908341508767,379.24676113938386,586.0462057858144,438.24934949615687
1787657849.0919929,0.26599979400634766,0.0,0.0,446.7894122655466,379.2470573551754,586.0453134572039,438.24934949615687
1787657849.1229947,0.29700160026550293,0.0,0.0,446.78789222040007,379.24737402021634,586.0443595291893,438.24934949615687
1787657849.1619947,0.3360016345977783,-0.0011326765208448625,0.0027069842883722106,446.7859800152722,379.2477723824074,586.042271253783,438.2494265517129
1787657849.1869948,0.36100172996520996,4.337173790880082,3.555480759079253,446.78475423915745,379.2480277435356,580.4349673341561,432.9234342641788
1787657849.2219968,0.39600372314453125,4.336859487017423,3.5564245147757685,446.7830380614158,379.2483852681105,580.4335192851751,432.9233899996601
1787657849.262997,0.43700385093688965,4.336484084845073,3.5575343644035566,446.7810277899904,379.2488040600685,580.4318257814565,432.9233433479949
1787657849.2889967,0.46300363540649414,4.333151011184641,3.5560844292955847,446.7797529982617,379.2490696324272,580.4345051259025,432.92697456632663
1787657849.3209991,0.49500608444213867,4.331662724961905,3.556129182820049,446.7781838907417,379.24939651843994,580.434626132017,432.92834826575563
1787657849.360999,0.535006046295166,4.329783373328259,3.5561798871158143,446.77622265830996,379.2498050942968,580.4347953536837,432.93008500140814
1787657849.3929992,0.5670061111450195,4.328264638925247,3.556216466100502,446.77465366768865,379.2501319559564,580.4349449341337,432.9314900596081
1787657849.4210057,0.5950126647949219,4.32692424738241,3.5562455235193915,446.77328048234614,379.25041802627067,580.4350862914159,432.93273127897226
1787657849.4630058,0.6370127201080322,4.330139012159945,3.5561766580244774,446.7712211836169,379.2508470318945,580.4313883142269,432.92975407219717
1787657849.4910057,0.6650125980377197,4.330139483835502,3.5561712426186785,446.7698483255906,379.2511330340202,580.430530102802,432.92975556979496
1787657849.5230117,0.6970186233520508,4.330140623994054,3.556161641841761,446.7682790427226,379.2514599565624,580.4295508528292,432.92975794102017
1787657849.5620117,0.7360186576843262,4.3301428648025375,3.556144967568199,446.7663668375947,379.2518583187535,580.4283601907807,432.92976181591456
1787657849.5900116,0.7640185356140137,4.330138253690488,3.556176935673176,446.7649939795685,379.2521443208792,580.427481663889,432.9297546810697
1787657849.6230152,0.7970221042633057,4.3301388093158435,3.5561734591275114,446.76337578629534,379.2524814327342,580.4264682170578,432.92975540640964
1787657849.6600153,0.8340222835540771,4.330140181889889,3.5561650956758797,446.76156163577514,379.2528593675936,580.4253343682994,432.92975711780537
1787657849.6930153,0.8670222759246826,4.330142078806733,3.5561536692696696,446.75994361784996,379.2531964429191,580.4243251611208,432.9297594357385
1787657849.7230167,0.8970236778259277,4.330144350789505,3.5561400224846427,446.758472623387,379.2535028894236,580.4234093515333,432.9297621980632
1787657849.7630167,0.9370236396789551,4.332626268622348,3.560291842196447,446.75651139095527,379.25391146528045,580.4175996230937,432.9259588389342
1787657849.7910168,0.9650237560272217,4.333275836662708,3.561360578577521,446.75513852123913,379.2541974698415,580.415551370478,432.92496982460443
1787657849.8230188,0.997025728225708,4.334026839824656,3.562592331353194,446.7535694370989,379.25452435098356,580.4131971764804,432.92382775642454
1787657849.8630188,1.0370256900787354,4.334978404054089,3.564147316156875,446.7527139916661,379.2537222433863,580.410294077795,432.9223827387322
1787657849.8920188,1.066025733947754,4.3336573330089285,3.5594868286961727,446.75215894048966,379.25306938559663,580.4134720516462,432.9252841495443
1787657849.9230237,1.0970306396484375,4.333689034376723,3.5586372482288375,446.7515655169258,379.25237139374894,580.413093673405,432.92555858806304
1787657849.9630237,1.1370306015014648,4.3337294566762035,3.5575183544675846,446.75079993098444,379.25147090246696,580.4126206658565,432.92592126496646
1787657849.9930236,1.1670305728912354,4.333759418511639,3.5566623005738824,446.7502257415284,379.2507955340055,580.4122771097839,432.92619964795534
1787657850.0220249,1.1960318088531494,4.333788084979329,3.5558209887323993,446.7496706675357,379.25014264937903,580.4119541234103,432.92647396618065
1787657850.063025,1.2370319366455078,4.332650419243185,3.5564968276652493,446.7488859387516,379.2492196420579,580.4111882337772,432.92729441606434
1787657850.092025,1.2660319805145264,4.332355896836043,3.5561394452721746,446.74833088757515,379.24856678426823,580.4107983892728,432.9276973305182
1787657850.123028,1.2970349788665771,4.332036303672104,3.5557494641848177,446.7477375005173,379.2478688353593,580.4103903472965,432.9281353216934
1787657850.163028,1.3370349407196045,4.331616754523285,3.555234231485452,446.7469719145759,379.24696834407735,580.4098772091339,432.92871147347336
1787657850.191028,1.365035057067871,15.326789426399793,12.557188988791602,446.74643600167906,379.24633799695954,566.2012393588284,419.46399573727143
1787657850.2230318,1.3970386981964111,15.32610332924651,12.556029952141369,446.74582346265186,379.24561752127676,566.2015794322799,419.4650422087967
1787657850.260032,1.4340388774871826,15.325294194187519,12.55466395673318,446.7451152915492,379.2447845620103,566.20200157293,419.46627603627456
