stamp_s,direct_utm_x_m,direct_utm_y_m,navsat_x_m,navsat_y_m,navsat_to_direct_m,direct_to_centreline_m,navsat_to_centreline_m,gps_variance_x_m2,gps_variance_y_m2
1787657848.825993,446.8024544635555,379.24434032524005,453.45700258458965,371.2619718709029,10.392363390295575,0.0005668898253030285,4.723843415113604,3.179089,3.179089
1787657849.826025,446.753422039561,379.25455505773425,453.40815899847075,371.27305444469675,10.391817744177278,0.010452178952974922,4.732856506100584,3.2076809999999996,3.2076809999999996
1787657850.8260505,446.73428188450634,379.2320421799086,453.38862265169155,371.25088450172916,10.391300637061063,0.03867721159807474,4.760921985540607,3.225616,3.225616
1787657851.8260736,446.7053746432066,379.20935568539426,453.3593176775612,371.2287141601555,10.390649501296885,0.07090187856662475,4.792828436138715,3.254416,3.254416
1787657852.8260858,446.6960015727673,379.18701642472297,453.3495499579003,371.206544615794,10.39026642615178,0.09512727710096588,4.8170529445121835,3.272481,3.272481
1787657853.826104,446.687219518004,379.1314286994748,453.3397835980868,371.1511213555932,10.389509812422254,0.14969132382531217,4.871852756803268,3.2761,3.2761
1787657854.8261406,446.66807936131954,379.1089158230461,453.32024725084193,371.1289514130913,10.388992714144077,0.17791635582669454,4.899918235998154,3.272481,3.272481
1787657855.8261728,446.6585092835594,379.0976593834348,453.3104790764628,371.1178664411418,10.388734163870414,0.19202887288306988,4.913950976535408,3.2905960000000003,3.2905960000000003
1787657856.8262033,446.6294050376164,379.08605571091175,453.2811736499425,371.10678067058325,10.388207537450164,0.21414065646459512,4.935665659666406,3.3124000000000002,3.3124000000000002
1787657857.8252296,446.59013969660737,379.09644406149164,453.2420986897778,371.11786364624277,10.38779591103972,0.22002631126591338,4.940837777047378,3.330625,3.330625
1787657858.825264,446.5608384461375,379.09592320909724,453.21279281005263,371.1178624480963,10.387393819714013,0.2320252131273361,4.952360691747189,3.326976,3.326976
1787657859.825284,446.51160901621915,379.1172207654454,453.1639487707289,371.14002959569916,10.38697276246105,0.23179761765884493,4.951182013018459,3.319684,3.319684
1787657860.8253117,446.4918778435094,379.127956351731,453.1444110641023,371.15111336903647,10.386829266992624,0.2296840033202267,4.948672188112678,3.316041,3.316041
1787657861.825337,446.46277359873056,379.11635267874226,453.115105637582,371.1400275994092,10.386302678351267,0.25179578687220977,4.970386870387423,3.3014889999999997,3.3014889999999997
1787657862.825347,446.4635616207961,379.07202139357105,453.1151074495865,371.0956893116236,10.385804513565791,0.2922473164781706,5.011153942720028,3.305124,3.305124
1787657863.8253675,446.4543855539523,379.0385993127711,453.105340182432,371.06243519484997,10.385296890609718,0.3265855970988159,5.045570219799287,3.316041,3.316041
1787657864.8253987,446.425872324151,378.99374717473984,453.0760361131979,371.0180957093835,10.384396694945348,0.37903602954357607,5.0978602069985595,3.319684,3.319684
1787657865.8254182,446.43544240214396,379.0050036138855,453.08580428769346,371.02918068133295,10.384655249944535,0.3649235128238678,5.083827466415567,3.4151040000000004,3.4151040000000004
1787657866.8254354,446.4458005023189,378.9719287673943,453.0955742726801,370.9959273636341,10.38441570767311,0.39126252609249645,5.110561800472841,3.575881,3.575881
1787657867.8254676,446.09182142314967,379.09867240535095,452.7438982776366,371.1289278627373,10.381086385948278,0.4138947522191482,5.1265355483714385,3.7249,3.7249
1787657868.825507,445.3057266228134,379.35077078221366,451.9623973025009,371.39492570608854,10.37336663832508,0.4911562285188349,5.189210768904643,3.9322890000000004,3.9322890000000004
1787657869.825528,444.32133514247835,379.7656392157078,450.98551707796287,371.8271842300892,10.364863164940042,0.49671703978338444,5.175828787282461,4.173849000000001,4.173849000000001
1787657870.8255703,443.267392142443,380.2457893528044,449.9402538506547,372.32594748493284,10.356204835218826,0.469597865654512,5.128182871113327,4.431025,4.431025
1787657871.82561,442.1271215095185,380.635714488104,448.8070766850142,372.7360306940973,10.345376029508257,0.5593783114712901,5.196639699181711,4.661280999999999,4.661280999999999
1787657872.8256278,441.0171372090699,380.970746462699,447.7032077185577,373.0906923334114,10.334350097531267,0.687724160190314,5.304532347209417,4.831204,4.831204
1787657873.8256605,439.6981042806292,381.52378911245614,446.39418877800927,373.66703724022955,10.32308566165126,0.6978043826047189,5.289249742300763,4.995225,4.995225
1787657874.8246968,438.4147908410523,382.2659343057312,445.1242368934909,374.4318215781823,10.314552271355637,0.5199668679197107,5.085342993511143,5.175624999999999,5.175624999999999
1787657875.823722,436.71712328726426,383.23352727340534,443.4439937014831,375.42936560697854,10.303190034422288,0.2977428253899882,4.828729298209939,5.262436,5.262436
1787657876.8227599,434.94951051694807,384.28856778517365,441.6953669175273,376.5155837056227,10.292028958285538,0.022612727163009955,4.517467828233864,5.308415999999999,5.308415999999999
1787657877.8218026,433.2819327758625,385.2123507624492,440.0444319647504,377.4687910778448,10.280764167548053,0.17115930674676397,4.290097677120628,5.331481000000001,5.331481000000001
1787657878.8208408,431.81363669456914,385.9179496522993,438.58887848001905,378.2003149869852,10.269653649396577,0.2426663144019777,4.189743515731349,5.387041000000001,5.387041000000001
1787657879.8208718,430.3341947887093,386.7009548600763,437.12355349911377,379.0094306813553,10.259382822099738,0.38096415322933125,4.021887664413213,5.452224999999999,5.452224999999999
1787657880.8209028,429.032530352124,387.3762568915263,435.8340682336129,379.7077077673748,10.25024698350498,0.4901264728307756,3.886812113777712,5.579044000000001,5.579044000000001
1787657881.820929,427.6650573940715,387.9062671768479,434.4762084679678,380.261882874649,10.23857364632124,0.4398241126593132,3.911116118500285,5.764800999999999,5.764800999999999
1787657882.8209643,426.3026239576284,388.70243891282007,433.1281070286641,381.0820882222615,10.230198619777195,0.6362309006997323,3.6869763878135293,5.914624,5.914624
1787657883.820979,424.87536694086157,389.297904829029,431.7116332682781,381.7027687644586,10.218641256972813,0.6226085931613731,3.6731750562903143,6.125625,6.125625
1787657884.8210042,423.61296842154115,389.96281901188195,430.46122354781255,382.38996336748824,10.210129327551545,0.8039125362844123,3.5329267053323075,6.365529,6.365529
1787657885.821026,422.34682736941613,390.838306912221,429.2108057952719,383.28776494646445,10.204160122580603,1.1995627020506836,3.199034434560269,6.584355999999999,6.584355999999999
1787657886.8210385,421.0060956152156,391.5129154003225,427.88224705762696,383.9860413428396,10.194865949887978,1.3809437877345352,3.079321528831894,6.806881,6.806881
1787657887.8210764,420.1179979930166,392.0071014855057,427.00305201835,384.4958975552581,10.189315649911231,1.5456279706615705,2.956185078259816,7.112888999999999,7.112888999999999
1787657888.8211129,419.1462484258227,392.81021784525365,426.04569616669323,385.31611879495904,10.186456680545497,2.0316083948424066,2.578406355139277,7.474756,7.474756
1787657889.8211536,417.91177299886476,393.55323313502595,424.82459004444536,386.08090709196404,10.179523367991791,2.6147516598212137,2.3552919106185413,7.761796,7.761796
1787657890.8211908,416.6216499914881,394.1289646849036,423.544878800516,386.6794246966019,10.169893961072571,3.024974190719565,2.308099618245355,8.0656,8.0656
1787657891.8212264,415.3098262352869,394.8262602095492,422.2456258032471,387.39987196354195,10.16152341075647,3.553102030930346,2.070457538026988,8.317456,8.317456
1787657892.821237,414.10662224923726,395.4589684517123,421.0538302315399,388.0538160488941,10.153816073690411,4.030703331858489,1.8581490106884366,8.637721,8.637721
1787657893.8212733,412.91456429148093,396.0142706595361,419.8718063645065,388.6301686274819,10.145352634702459,4.432894797894748,1.7155541082838857,8.8804,8.8804
1787657894.8212883,412.3011271178257,396.4468209054321,419.26613565778825,389.07352838711813,10.142819456264442,4.785506101182911,1.5031768696010372,9.114361,9.114361
1787657895.8203132,411.26869097561575,396.8164927614853,418.240416895831,389.46144937118515,10.13418105126402,4.885291413518985,1.404027106534968,9.314704,9.314704
1787657896.8193338,410.38898246502504,397.3884328729473,417.37098839110695,390.04889862891287,10.130013310514311,3.86721107223235,0.9296756341163932,9.622404,9.622404
1787657897.818354,409.3217300750548,398.067903093528,416.3159522272181,390.7471866332926,10.124822615975711,2.6367811068306173,0.36851587802255814,9.897316,9.897316
1787657898.817386,408.2506198650226,398.41471521696076,415.25116012699436,391.11293725064024,10.11550915322266,1.5111233032449247,0.13851123253754277,10.208025,10.208025
1787657899.817408,407.53990628931206,398.8233641954139,414.5478044938063,391.5341244158335,10.111560404248747,0.7060299857290143,0.19160396795895923,10.465224999999998,10.465224999999998
1787657900.817434,406.6934387041256,399.1741689257324,413.7076904954156,391.8998836292885,10.105194444723677,0.2085524011368266,0.44965706042039405,10.686361000000002,10.686361000000002
1787657901.8174527,405.5871997929644,399.29863054445013,412.60383247816935,392.0439416067675,10.092752143078805,1.2949527250814672,0.45482684612472046,10.989225,10.989225
1787657902.8174748,404.47887556103524,398.99068870721385,411.4902220517397,391.75570108927786,10.074920617275389,2.2423963395453783,0.029860798996217897,11.229201,11.229201
1787657903.8174868,403.4328960230341,398.47321489360183,410.4352310769027,391.2568560387008,10.055273806781473,3.062609117194945,0.33415463491107855,11.410884000000001,11.410884000000001
1787657904.8175075,402.36135753127746,397.74464685935527,409.35094202600885,390.5474031693302,10.032677017755281,3.8381858236683217,0.8917212684032254,11.628100000000002,11.628100000000002
1787657905.8175325,401.39804449724033,396.97365703620017,408.3741091894917,389.79361611930653,10.01091734851223,4.497620368594815,1.50763798614211,11.943935999999999,11.943935999999999
1787657906.8175652,400.77528103475925,395.73200775915757,407.7294266051613,388.5632049590349,9.987586004705468,4.681703547567965,2.640432242822828,11.710084,11.710084
1787657907.8175805,400.3267489601858,394.58214551070705,407.2605755914701,387.4214769084938,9.96760385365663,4.730983792784204,3.7089353670687664,11.696399999999999,11.696399999999999
1787657908.8176026,399.7990954226116,393.48630875442177,406.71357353951316,386.3351688454859,9.947301625379938,3.973101416135865,4.7120345150453895,11.895601,11.895601
1787657909.8176205,399.788586641429,391.87860558740795,406.6745584749151,384.7279047933407,9.927191442590287,2.4550930472992216,6.299533187260511,11.923208999999998,11.923208999999998
1787657910.8176446,399.6022705405485,390.2677780110389,406.45970833010506,383.1206342545338,9.90485320001202,0.9909533134870487,7.863447606846266,11.916304,11.916304
1787657911.8176825,399.51886205910705,388.9137646560557,406.35230347677134,381.7683127922937,9.887032110091958,0.2634197639385435,9.187821943759836,11.957764000000001,11.957764000000001
1787657912.8176932,399.4155254724901,387.5815697880462,406.2253605396254,380.43815975356847,9.869253293044121,1.490704261369445,8.362218919492308,12.006224999999999,12.006224999999999
1787657913.8177269,399.29186685185414,386.2933590472676,406.078878693399,379.15234427852556,9.851782664303052,2.6697970154353303,7.632093250390096,11.999296,11.999296
1787657914.8177428,398.5669016435277,385.3048790222965,405.33649965247605,378.17687481595203,9.830356105880526,3.0403051806074126,6.584458820735878,11.909401,11.909401
